junction,betweenness,degree_centrality,eigenvector,degree,latitude,longitude,event_count,corridor,betweenness_norm,degree_centrality_norm,eigenvector_norm
ayyappatemplejunc,0.042283,0.017065,0.0,5,12.9238208,77.6186665,49,hosur road,0.32046171102892135,0.5714285714285715,0.0
krcircle,0.042175,0.013652,0.0,4,12.976525,77.5863883,31,non-corridor,0.3196431819559813,0.4285714285714286,0.0
hainsjunc,0.04187,0.017065,0.0,5,12.99413665,77.6063921,6,non-corridor,0.31733159522221543,0.5714285714285715,0.0
shivajitalkiesjunc,0.0407,0.013652,0.0,4,12.9633032,77.5819049,7,mysore road,0.30846419693203175,0.4285714285714286,0.0
domlurwatertank,0.040514,0.013652,0.0,4,12.96116525,77.638886,12,old airport road,0.3070545079730795,0.4285714285714286,0.0
ascharstreet-mysorerdjunc,0.039272,0.017065,0.0,5,12.9645367,77.57359,5,mysore road,0.2976414236342691,0.5714285714285715,0.0
trinitycircle,0.03899,0.020478,0.0,6,12.9720341,77.6194831,11,old madras road,0.29550415327714785,0.7142857142857143,0.0
chandrikajunction,0.038342,0.017065,0.0,5,12.99138545,77.59245085,2,non-corridor,0.2905929788395077,0.5714285714285715,0.0
operahousejunc,0.037826,0.013652,0.0,4,12.97201435,77.606961,6,mysore road,0.2866822288243497,0.4285714285714286,0.0
oldmadrasrd-80feetrdjunc,0.037224,0.020478,0.0,6,12.9859871,77.64543805,8,old madras road,0.2821196871399988,0.7142857142857143,0.0
ramamurthynagarjunction,0.037189,0.017065,0.0,5,13.0167887,77.6610443,9,orr north 1,0.281854423088583,0.5714285714285715,0.0
potterycircle,0.03688,0.013652,0.0,4,13.0018933,77.6121721,5,non-corridor,0.27951252046322683,0.4285714285714286,0.0
thomascafe-new,0.036849,0.020478,0.0,6,12.9905937,77.6138551,1,non-corridor,0.27927757230340144,0.7142857142857143,0.0
malleswaram18thcrossrd-sampigerdjunc,0.035529,0.023891,0.0,7,13.0084952,77.5717493,5,non-corridor,0.2692733280785788,0.8571428571428572,0.0
koramangalawatertankjunc,0.035503,0.013652,0.0,4,12.9274814,77.6212365,29,irr(thanisandra road),0.26907627478324136,0.4285714285714286,0.0
28thmainjayanagarjunc,0.034832,0.020478,0.0,6,12.91684515,77.5950819,6,non-corridor,0.26399078396895653,0.7142857142857143,0.0
jakkurcrossjunction,0.03447,0.017065,0.0,5,13.0735301,77.59286565,18,bellary road 2,0.26124719578002786,0.5714285714285715,0.0
btm16thmain-orrjunc,0.033988,0.013652,0.0,4,12.916427800000001,77.60972885,6,non-corridor,0.25759413084338806,0.4285714285714286,0.0
swagathmainrd-eastendrdjunc,0.033442,0.013652,0.0,4,12.92727815,77.59705165,2,bannerghata road,0.2534560116413024,0.4285714285714286,0.0
"kuvempucirclejunc,halmaingate",0.033438,0.013652,0.0,4,12.958055,77.668315,1,old airport road,0.253425695749712,0.4285714285714286,0.0
tamarikannanjunc,0.033305,0.017065,0.0,5,12.9813476,77.6285708,1,old madras road,0.25241769235433215,0.5714285714285715,0.0
ascjunction,0.033042,0.017065,0.0,5,12.9668138,77.6205865,3,non-corridor,0.2504244224822652,0.5714285714285715,0.0
oldpolicestation-ashoknagar,0.033008,0.020478,0.0,6,12.9681339,77.6062498,5,mysore road,0.25016673740374706,0.7142857142857143,0.0
pes-devegowdacircle,0.032887,0.020478,0.0,6,12.937031225,77.53317691,4,orr west 1,0.2492496816831383,0.7142857142857143,0.0
"jayanagar4thmain,36thcross",0.032192,0.020478,0.0,6,12.9225838,77.5803166,2,non-corridor,0.2439822955193112,0.7142857142857143,0.0
27thcrossjayanagar(ganapathitemple),0.031798,0.013652,0.0,4,12.9317517,77.5797388,1,non-corridor,0.24099618019765962,0.4285714285714286,0.0
drtcmroyanrdnearambedkarstatue,0.031786,0.020478,0.0,6,12.9651619,77.56820285,12,mysore road,0.2409052325228885,0.7142857142857143,0.0
yelhankacircle,0.031113,0.020478,0.0,6,13.0943458,77.59664889999999,34,bellary road 2,0.23580458376280844,0.7142857142857143,0.0
bdajunctio-koramangala,0.030994,0.020478,0.0,6,12.931490499999999,77.62267944999999,6,irr(thanisandra road),0.2349026859879949,0.7142857142857143,0.0
"priyadarshinihotel,jayamahal,rtnagar",0.030443,0.013652,0.0,4,13.001703500000001,77.5945777,6,non-corridor,0.2307266719214212,0.4285714285714286,0.0
yediyurmeternityhospital,0.030257,0.017065,0.0,5,12.9267084,77.577034,1,non-corridor,0.2293169829624689,0.5714285714285715,0.0
fireforcejunction,0.030134,0.020478,0.0,6,12.98076095,77.5495049,2,west of chord road,0.228384769296065,0.7142857142857143,0.0
loweragaram(indiagarage)junc,0.029221,0.017065,0.0,5,12.9654287,77.6176745,3,non-corridor,0.22146516704056265,0.5714285714285715,0.0
bommanahalli,0.028955,0.017065,0.0,5,12.906897449999999,77.62806384999999,26,hosur road,0.21944916024980296,0.5714285714285715,0.0
krupanidhicollege,0.028791,0.023891,0.0,7,12.9247775,77.6280755,5,non-corridor,0.2182062086945977,0.8571428571428572,0.0
jdmarajunc,0.028705,0.013652,0.0,4,12.9073043,77.6008947,3,bannerghata road,0.2175544170254047,0.4285714285714286,0.0
isrojunction-airportrd,0.028339,0.013652,0.0,4,12.9592633,77.6551777,9,old airport road,0.2147805129448857,0.4285714285714286,0.0
gokuldasimagesjunc,0.028206,0.017065,0.0,5,13.03023215,77.53699345000001,28,tumkur road,0.21377250954950583,0.5714285714285715,0.0
lalbaghwestgate,0.028154,0.020478,0.0,6,12.9483534,77.5797302,1,non-corridor,0.213378402958831,0.7142857142857143,0.0
sirsicircle,0.02769,0.013652,0.0,4,12.9613113,77.5594103,9,mysore road,0.20986175953434788,0.4285714285714286,0.0
attiguppecirclejunction,0.027671,0.020478,0.0,6,12.9621302,77.5335461,1,west of chord road,0.20971775904929363,0.7142857142857143,0.0
yemalurcrossjunc,0.027483,0.017065,0.0,5,12.95601045,77.6938131,4,old airport road,0.20829291214454618,0.5714285714285715,0.0
gorappanapalyajunction,0.026709,0.017065,0.0,5,12.920906,77.6002661,1,bannerghata road,0.20242678712180925,0.5714285714285715,0.0
